Set,Attack,Seed,Budget,Final_Accuracy,Final_Agreement
SET-A1,ACTIVETHIEF,0,20000,0.9783,0.9836
SET-A1,ACTIVETHIEF_DFAL,0,20000,0.9731,0.9784
SET-A1,ACTIVETHIEF_UNCERTAINTY,0,20000,0.9748,0.978
SET-A1,BLACKBOX_DISSECTOR,0,20000,0.9203,0.9246
SET-A1,BLACKBOX_RIPPER,0,99990,0.1016,0.1018
SET-A1,COPYCATCNN,0,20000,0.7907,0.7914
SET-A1,DFME,0,100000,0.8671,0.871
SET-A1,DFMS,0,100000,0.6691,0.6727
SET-A1,ES,0,100000,0.098,0.0983
SET-A1,GAME,0,100000,0.098,0.0983
SET-A1,INVERSENET,0,20000,0.8912,0.8926
SET-A1,KNOCKOFF_NETS,0,20000,0.3601,0.3622
