Set,Attack,Budget,Accuracy,Agreement
SET-A1,ACTIVETHIEF,20000,0.9783,0.9836
SET-A1,ACTIVETHIEF_DFAL,20000,0.9731,0.9784
SET-A1,ACTIVETHIEF_UNCERTAINTY,20000,0.9748,0.9780
SET-A1,BLACKBOX_DISSECTOR,20000,0.9203,0.9246
SET-A1,BLACKBOX_RIPPER,99990,0.1016,0.1018
SET-A1,COPYCATCNN,20000,0.7907,0.7914
SET-A1,DFME,100000,0.8671,0.8710
SET-A1,DFMS,100000,0.6691,0.6727
SET-A1,ES,100000,0.0980,0.0983
SET-A1,GAME,100000,0.0980,0.0983
SET-A1,INVERSENET,20000,0.8912,0.8926
SET-A1,KNOCKOFF_NETS,20000,0.3601,0.3622
