Set,Attack,Accuracy_mean,Accuracy_std,Agreement_mean,Agreement_std,Accuracy (mean+std),Agreement (mean+std)
SET-A1,BLACKBOX_DISSECTOR,0.7222666666666667,0.33648394216267347,0.7249333333333333,0.3370939087751859,0.7223 + 0.3365,0.7249 + 0.3371
SET-A1,BLACKBOX_RIPPER,0.12072000000000001,0.03137717323150701,0.12061999999999999,0.0315490411898682,0.1207 + 0.0314,0.1206 + 0.0315
SET-A1,COPYCATCNN,0.7133333333333333,0.3741730125668249,0.7164,0.3753123898834143,0.7133 + 0.3742,0.7164 + 0.3753
SET-A1,DFME,0.64892,0.32757105641371914,0.65186,0.3285629970036188,0.6489 + 0.3276,0.6519 + 0.3286
SET-A1,DFMS,0.09802,0.0004604345773288537,0.09844,0.00041593268686170503,0.0980 + 0.0005,0.0984 + 0.0004
SET-A1,ES,0.17842,0.049285515113469194,0.17718,0.04924476621936589,0.1784 + 0.0493,0.1772 + 0.0492
SET-A1,GAME,0.35658,0.1784418868987884,0.35624,0.17838818066228493,0.3566 + 0.1784,0.3562 + 0.1784
SET-A1,KNOCKOFF_NETS,0.7175333333333334,0.38087034976922696,0.7209333333333333,0.38215261785487403,0.7175 + 0.3809,0.7209 + 0.3822
SET-A1,MAZE,0.23988,0.12629444564192044,0.23926000000000003,0.12747851975921276,0.2399 + 0.1263,0.2393 + 0.1275
SET-A1,RANDOM,0.7052,0.4096808147814589,0.7077333333333332,0.41040781344089117,0.7052 + 0.4097,0.7077 + 0.4104
