paper_id,title,year,authors,doi_or_url,license,local_path,notes
2018_correia_silva_copycatcnn,Copycat CNN: Stealing Knowledge by Persuading Confession with Random Non-Labeled Data,2018,"Correia-Silva et al.",https://arxiv.org/abs/1806.05476,unknown,papers/copycatcnn.pdf,PDF present; no local text extract in canonical set.
2019_orekondy_knockoffnets,Knockoff Nets: Stealing Functionality of Black-Box Models,2019,"Orekondy et al.",https://arxiv.org/abs/1812.02766,unknown,papers/knockoffnets.pdf,Canonical text at papers/paper_text/knockoffnets.txt.
2020_pal_activethief,ActiveThief: Model Extraction Using Active Learning and Unannotated Public Data,2020,"Pal et al.",https://ojs.aaai.org/index.php/AAAI/article/view/5432,unknown,papers/activethief.pdf,PDF present; no local text extract in canonical set.
2020_yu_cloudleak,CloudLeak: Large-Scale Deep Learning Models Stealing Through Adversarial Examples,2020,"Yu et al.",https://www.ndss-symposium.org/wp-content/uploads/2020/02/24178.pdf,unknown,papers/cloudleak.pdf,Canonical text at papers/paper_text/cloudleak.txt; variant at papers/paper_text/cloudleak__variant_temp.txt.
2020_barbalau_blackbox_ripper,Blackbox Ripper: Copying Black-box Models using Generative Evolutionary Algorithms,2020,"Barbalau et al.",https://arxiv.org/abs/2010.11158,unknown,papers/blackbox-ripper.pdf,Canonical text at papers/paper_text/blackbox_ripper.txt.
2021_gong_inversenet,Knockoff Models from the Dark: Model Extraction with No Public Data,2021,"Gong et al.",https://www.ijcai.org/proceedings/2021/336,unknown,papers/inversenet.pdf,Canonical text at papers/paper_text/inversenet.txt.
2021_truong_dfme,Data-Free Model Extraction,2021,"Truong et al.",https://arxiv.org/abs/2011.14779,unknown,papers/DFME.pdf,Canonical text at papers/paper_text/dfme.txt.
2021_kariyappa_maze,MAZE: Data-Free Model Stealing Attack Using Zeroth-Order Gradient Estimation,2021,"Kariyappa et al.",https://arxiv.org/abs/2005.03161,unknown,papers/MAZE.pdf,Canonical text at papers/paper_text/maze.txt.
2021_wang_blackbox_dissector,Blackbox Dissector (model extraction reference),2021,"Wang et al.",https://arxiv.org/abs/2105.00623,unknown,papers/blackbox-dissector.pdf,Canonical text at papers/paper_text/blackbox_dissector.txt.
2022_sanyal_dfms,How to Attack and Fool Black-Box Models by Querying on Data-Free Synthetic Inputs,2022,"Sanyal et al.",https://arxiv.org/abs/2204.11022,unknown,papers/DFMS.pdf,Canonical text at papers/paper_text/dfms.txt; variant at papers/paper_text/dfms__variant_paper_text.txt.
2022_yuan_esattack,Practical Model Extraction Attack against Deep Learning Systems via Adaptive Black-box Optimization,2022,"Yuan et al.",https://arxiv.org/abs/2009.09560,unknown,papers/esattack.pdf,Canonical text at papers/paper_text/esattack.txt.
2022_xie_game,GAME: Generative Adversarial Model Extraction,2022,"Xie et al.",https://link.springer.com/chapter/10.1007/978-3-031-17140-6_28,unknown,papers/GAME.pdf,Canonical text at papers/paper_text/game.txt.
2024_lee_swiftthief,SwiftThief: One-shot Active Learning with Contrastive Guidance for Model Extraction,2024,"Lee et al.",https://www.ijcai.org/proceedings/2024/47,unknown,papers/swiftthief.pdf,Canonical text at papers/paper_text/swiftthief.txt.
