Set,Attack,Budget,Seed,Accuracy,Agreement,KL,L1,Victim,Substitute,Timestamp
SET-A1,MAZE,20000,0,0.3996,0.3995,2.137309897994995,0.136918116645813,mnist_lenet_mnist,lenet_mnist,20260128_200105
SET-A1,MAZE,50000,0,0.4997,0.4995,1.761905662918091,0.11570673137664796,mnist_lenet_mnist,lenet_mnist,20260128_200105
SET-A1,MAZE,1000,0,0.0974,0.0961,2.531371699523926,0.17959588806152343,mnist_lenet_mnist,lenet_mnist,20260128_200105
SET-A1,MAZE,10000,0,0.3404,0.3406,2.023051358413696,0.15053948532104494,mnist_lenet_mnist,lenet_mnist,20260128_200105
SET-A1,MAZE,100000,0,0.425,0.4246,1.9661379278182984,0.1290996548843384,mnist_lenet_mnist,lenet_mnist,20260128_200105
SET-A1,DFME,100000,0,0.8933,0.8975,0.26563490573167803,0.024066489973068237,mnist_lenet_mnist,lenet_mnist,20260128_195544
SET-A1,DFME,50000,0,0.8343,0.8379,0.44151519169807435,0.03744154291152954,mnist_lenet_mnist,lenet_mnist,20260128_195544
SET-A1,DFME,20000,0,0.7268,0.7305,0.9745912380218505,0.06290573694705963,mnist_lenet_mnist,lenet_mnist,20260128_195544
SET-A1,DFME,10000,0,0.6336,0.6372,1.3817982513427733,0.09259797025680541,mnist_lenet_mnist,lenet_mnist,20260128_195544
SET-A1,DFME,1000,0,0.1028,0.1041,2.5546519149780273,0.17856572296142578,mnist_lenet_mnist,lenet_mnist,20260128_195544
SET-A1,KNOCKOFF_NETS,1000,0,0.2785,0.2804,1.9699125970840454,0.1613118897628784,mnist_lenet_mnist,lenet_mnist,20260128_193713
SET-A1,KNOCKOFF_NETS,10000,0,0.9147,0.9191,0.25899630682468416,0.03277701253890991,mnist_lenet_mnist,lenet_mnist,20260128_193713
SET-A1,KNOCKOFF_NETS,20000,0,0.9594,0.9633,0.11279299638867378,0.014840166768431664,mnist_lenet_mnist,lenet_mnist,20260128_193713
SET-A2,ACTIVETHIEF (DFAL),1000,0,0.1498,0.151,2.234787995147705,0.1715951321029663,mnist_lenet_mnist,lenet_mnist,20260128_191609
SET-A2,ACTIVETHIEF (DFAL),10000,0,0.6253,0.6281,1.0926638519287108,0.09207741691589355,mnist_lenet_mnist,lenet_mnist,20260128_185550
SET-A2,ACTIVETHIEF (DFAL_K_CENTER),20000,0,0.827,0.8308,0.4927996666908264,0.04864712948322296,mnist_lenet_mnist,lenet_mnist,20260128_182448
SET-A2,ACTIVETHIEF (DFAL_K_CENTER),1000,0,0.2478,0.2482,2.122519398880005,0.17092903747558594,mnist_lenet_mnist,lenet_mnist,20260128_182213
